date,zone,ndvi_mean,ndvi_median,ndvi_std,ndvi_p25,ndvi_p75,ndvi_min,ndvi_max,height_mean_cm,height_median_cm,height_p25_cm,height_p75_cm,scene_key,valid_pixels,total_pixels,valid_fraction
7/8/2023,N,0.792931676,0.803573072,0.057846386,0.770557106,0.829834223,0.299150974,0.889695168,69.29316711,70.35730743,67.05570984,72.98342896,2023-07-08_6633576,59210,59210,1
7/9/2023,N,0.816116154,0.828883946,0.061748199,0.791996717,0.855933905,0.282401055,0.915915906,71.61161804,72.88839722,69.19967651,75.59339142,2023-07-09_6635932,59210,59210,1
7/11/2023,N,0.823920071,0.835567474,0.053389452,0.806589961,0.857422233,0.326491117,0.895274282,72.39200592,73.55674744,70.65899658,75.74221802,2023-07-11_6640267,59210,59210,1
7/13/2023,N,0.857532501,0.868664384,0.046769969,0.848417938,0.88356936,0.371778071,0.913637698,75.75325012,76.86643982,74.84179688,78.35693359,2023-07-13_6645275,59210,59210,1
7/14/2023,N,0.883710861,0.896446943,0.049907736,0.875421703,0.910287976,0.334195435,0.945529103,78.37107849,79.6446991,77.54216766,81.02880096,2023-07-14_6647880,59210,59210,1
7/15/2023,N,0.8584584,0.868833542,0.04386973,0.850539446,0.882472157,0.349983245,0.910302937,75.84584045,76.88334656,75.05393982,78.24721527,2023-07-15_6649831,59210,59210,1
7/16/2023,N,0.87296921,0.88561815,0.049198363,0.865710378,0.898974657,0.307122529,0.929415703,77.29692841,78.56181335,76.57104492,79.89746857,2023-07-16_6651862,59210,59210,1
7/19/2023,N,0.90251112,0.91487962,0.045105781,0.897248864,0.924540222,0.32742241,0.949382126,80.25111389,81.48796082,79.72488403,82.45402527,2023-07-19_6657477,59210,59210,1
7/20/2023,N,0.862319291,0.871986449,0.037498727,0.856458187,0.881317973,0.403864741,0.909720063,76.23192596,77.19864655,75.64581299,78.13179779,2023-07-20_6659116,59210,59210,1
7/21/2023,N,0.864998281,0.87687856,0.044207118,0.859813154,0.886570394,0.373043448,0.913217545,76.49983215,77.68785858,75.98131561,78.65703583,2023-07-21_6661599,59210,59210,1
7/22/2023,N,0.848416805,0.859989345,0.042440198,0.844698608,0.86912477,0.397777766,0.89750874,74.8416748,75.99893188,74.46986389,76.91247559,2023-07-22_6663978,59210,59210,1
7/23/2023,N,0.865721107,0.876625359,0.041700728,0.861747563,0.885255992,0.371628344,0.91605556,76.57210541,77.66253662,76.17475891,78.52560425,2023-07-23_6669942,59210,59210,1
